STATION,per90,num.years,total.results,total.possible.results,total.percent,total.crit.results,total.possible.crit.results,critical.percentage,,,,,,
USR0000OGRM,98,10,3651,3650,1,920,920,1,,,,,,
USR0000OHAR,85.1,10,3590,3650,0.98,920,920,1,,,,,,
USR0000OHAY,96.1,10,3650,3650,1,920,920,1,,,,,,
USR0000OHEH,96.1,10,3653,3650,1,920,920,1,,,,,,
USR0000OHIG,93.2,10,3651,3650,1,920,920,1,,,,,,
USR0000OHOR,88.2,10,3636,3650,1,918,920,1,,,,,,
USR0000OHOY,93.5,10,3651,3650,1,918,920,1,,,,,,
USR0000OILL,103.1,10,3651,3650,1,920,920,1,,,,,,
USR0000OJRI,93,10,3589,3650,0.98,920,920,1,,,,,,
USR0000OKE2,91,10,3602,3650,0.99,920,920,1,,,,,,
USR0000OKEL,93.1,10,3641,3650,1,920,920,1,,,,,,
USR0000OLAG,95.3,10,3636,3650,1,903,920,0.98,,,,,,
USR0000OLAV,101.3,10,3576,3650,0.98,913,920,0.99,,,,,,
USR0000OLMC,95.1,10,3650,3650,1,920,920,1,,,,,,
USR0000OLOG,90.8,10,3562,3650,0.98,917,920,1,,,,,,
USR0000OMER,105.1,10,3578,3650,0.98,920,920,1,,,,,,
USR0000OMET,96,10,3635,3650,1,903,920,0.98,,,,,,
USR0000OMID,94.1,10,3644,3650,1,913,920,0.99,,,,,,
USR0000OMLL,91.5,10,3598,3650,0.99,914,920,0.99,,,,,,
USR0000OMOO,92.1,10,3630,3650,0.99,916,920,1,,,,,,
USR0000OMOR,95.2,10,3653,3650,1,920,920,1,,,,,,
USR0000OMOU,97.2,10,3607,3650,0.99,920,920,1,,,,,,
USR0000OMTW,93,10,3653,3650,1,920,920,1,,,,,,
USR0000OMTY,121.5,10,3594,3650,0.98,917,920,1,,,,,,
USR0000OMUT,92.1,10,3652,3650,1,920,920,1,,,,,,
USR0000ONPR,95,10,3604,3650,0.99,920,920,1,,,,,,
USR0000OOWY,95.1,10,3639,3650,1,914,920,0.99,,,,,,
USR0000OPAR,96.1,10,3638,3650,1,920,920,1,,,,,,
USR0000OPAT,100.1,10,3650,3650,1,920,920,1,,,,,,
USR0000OPEB,99.4,10,3613,3650,0.99,920,920,1,,,,,,
USR0000OPHI,96.1,10,3266,3650,0.89,828,920,0.9,,,,,,
USR0000OPOL,94,10,3499,3650,0.96,919,920,1,,,,,,
USR0000OPRO,102.3,10,3623,3650,0.99,914,920,0.99,,,,,,
USR0000OQUA,92.7,10,3651,3650,1,920,920,1,,,,,,
USR0000ORCK,96.2,10,3600,3650,0.99,915,920,0.99,,,,,,
USR0000OREB,93.2,10,3611,3650,0.99,890,920,0.97,,,,,,
USR0000ORED,97.2,10,3648,3650,1,917,920,1,,,,,,
USR0000OREM,96.8,10,3651,3650,1,920,920,1,,,,,,
USR0000ORID,94,10,3633,3650,1,920,920,1,,,,,,
USR0000OROB,94.2,10,3429,3650,0.94,900,920,0.98,,,,,,
USR0000OROC,91.1,10,3648,3650,1,920,920,1,,,,,,
USR0000OROU,87.9,10,3477,3650,0.95,920,920,1,,,,,,
USR0000ORYE,91.1,10,3638,3650,1,914,920,0.99,,,,,,
USR0000OSAG,96,10,3653,3650,1,920,920,1,,,,,,
USR0000OSAL,99.6,10,3369,3650,0.92,828,920,0.9,,,,,,
USR0000OSEL,91.1,10,3639,3650,1,920,920,1,,,,,,
USR0000OSFK,91.1,10,3625,3650,0.99,909,920,0.99,,,,,,
USR0000OSIG,89.1,10,3646,3650,1,920,920,1,,,,,,
USR0000OSIL,90.4,10,3612,3650,0.99,920,920,1,,,,,,
USR0000OSLI,88,10,3477,3650,0.95,831,920,0.9,,,,,,
USR0000OSPA,95.2,10,3570,3650,0.98,911,920,0.99,,,,,,
USR0000OSQU,90.8,10,3617,3650,0.99,920,920,1,,,,,,
USR0000OSTR,91.1,10,3651,3650,1,918,920,1,,,,,,
USR0000OSUG,95.2,10,3490,3650,0.96,920,920,1,,,,,,
USR0000OSUM,90.2,10,3650,3650,1,918,920,1,,,,,,
USR0000OTIL,77.3,10,3652,3650,1,920,920,1,,,,,,
USR0000OTIM,87.2,10,3649,3650,1,918,920,1,,,,,,
USR0000OTOK,95.1,10,3558,3650,0.97,920,920,1,,,,,,
USR0000OTRO,95.1,10,3632,3650,1,920,920,1,,,,,,
USR0000OTUM,94,10,3653,3650,1,920,920,1,,,,,,
USR0000OTUP,94,10,3651,3650,1,920,920,1,,,,,,
USR0000OUMA,104.1,10,3651,3650,1,920,920,1,,,,,,
USR0000OVIL,97.9,10,3616,3650,0.99,918,920,1,,,,,,
USR0000OWAG,87.1,10,3646,3650,1,920,920,1,,,,,,
USR0000OWAM,94.2,10,3491,3650,0.96,920,920,1,,,,,,
USR0000OWAN,92.7,10,3602,3650,0.99,919,920,1,,,,,,
USR0000OWAS,95.1,10,3652,3650,1,920,920,1,,,,,,
USR0000OWIL,95.2,10,3563,3650,0.98,919,920,1,,,,,,
USR0000OYEL,96.4,10,3316,3650,0.91,900,920,0.98,,,,,,
USR0000OYLP,95,10,3188,3650,0.87,828,920,0.9,,,,,,
USR0000OZIM,94,10,3647,3650,1,920,920,1,,,,,,
USS0017D02S,76.1,10,3645,3650,1,914,920,0.99,,,,,,
USS0017D06S,83.1,10,3652,3650,1,920,920,1,,,,,,
USS0017D07S,84.2,10,3650,3650,1,919,920,1,,,,,,
USS0017D08S,86.2,10,3653,3650,1,920,920,1,,,,,,
USS0017D18S,72.6,9,2780,3285,0.85,673,828,0.81,,,,,,
USS0017D20S,81.1,10,3653,3650,1,920,920,1,,,,,,
USS0018D04S,90.2,10,3653,3650,1,920,920,1,,,,,,
USS0018D06S,83,10,3652,3650,1,920,920,1,,,,,,
USS0018D08S,86.1,10,3652,3650,1,920,920,1,,,,,,
USS0018D09S,86.2,10,3589,3650,0.98,920,920,1,,,,,,
USS0018D19S,84,10,3652,3650,1,919,920,1,,,,,,
USS0018D20S,87.1,10,3647,3650,1,919,920,1,,,,,,
USS0018D21S,84.1,10,3652,3650,1,920,920,1,,,,,,
USS0018E03S,83.1,10,3652,3650,1,920,920,1,,,,,,
USS0018E05S,84,10,3653,3650,1,920,920,1,,,,,,
USS0018E08S,88.2,10,3651,3650,1,920,920,1,,,,,,
USS0018E09S,89.1,10,3653,3650,1,920,920,1,,,,,,
USS0018E16S,86.1,10,3653,3650,1,920,920,1,,,,,,
USS0018E18S,89,10,3562,3650,0.98,887,920,0.96,,,,,,
USS0018F01S,90,10,3653,3650,1,920,920,1,,,,,,
USS0018G01S,82.1,10,3651,3650,1,920,920,1,,,,,,
USS0018G02S,79,10,3653,3650,1,920,920,1,,,,,,
USS0019D02S,81.1,10,3645,3650,1,920,920,1,,,,,,
USS0019D03S,85.2,10,3650,3650,1,917,920,1,,,,,,
USS0019E03S,85.1,10,3653,3650,1,920,920,1,,,,,,
USS0019E07S,91,10,3652,3650,1,919,920,1,,,,,,
USS0019F01S,84,10,3652,3650,1,920,920,1,,,,,,
USS0020E02S,85.2,10,3653,3650,1,920,920,1,,,,,,
USS0020G02S,81,10,3652,3650,1,920,920,1,,,,,,
USS0020G06S,88.1,10,3640,3650,1,908,920,0.99,,,,,,
USS0020G09S,88.1,10,3652,3650,1,920,920,1,,,,,,
USS0020G12S,86.1,10,3653,3650,1,920,920,1,,,,,,
USS0021D01S,86.2,10,3639,3650,1,908,920,0.99,,,,,,
USS0021D04S,84.2,10,3652,3650,1,920,920,1,,,,,,
USS0021D08S,79,10,3651,3650,1,918,920,1,,,,,,
USS0021D12S,85.2,10,3653,3650,1,920,920,1,,,,,,
USS0021D13S,88.2,10,3635,3650,1,906,920,0.98,,,,,,
USS0021D14S,89.2,10,3650,3650,1,920,920,1,,,,,,
USS0021D33S,85.1,10,3619,3650,0.99,892,920,0.97,,,,,,
USS0021D35S,85.2,10,3652,3650,1,919,920,1,,,,,,
USS0021E04S,90.1,10,3653,3650,1,920,920,1,,,,,,
USS0021E05S,90,10,3650,3650,1,920,920,1,,,,,,
USS0021E06S,83.1,10,3650,3650,1,917,920,1,,,,,,
USS0021E07S,86.1,10,3633,3650,1,919,920,1,,,,,,
USS0021E13S,83,10,3629,3650,0.99,920,920,1,,,,,,
USS0021F10S,88.1,10,3652,3650,1,920,920,1,,,,,,
USS0021F12S,89.1,10,3616,3650,0.99,911,920,0.99,,,,,,
USS0021F21S,82,10,3653,3650,1,920,920,1,,,,,,
USS0021F22S,90.1,10,3652,3650,1,920,920,1,,,,,,
USS0021G03S,91.1,10,3652,3650,1,920,920,1,,,,,,
USS0021G04S,91.2,10,3652,3650,1,919,920,1,,,,,,
USS0021G16S,80.2,10,3309,3650,0.91,811,920,0.88,,,,,,
USS0021G17S,88,10,3649,3650,1,920,920,1,,,,,,
USS0022D02S,85.1,10,3653,3650,1,920,920,1,,,,,,
USS0022D03S,87.1,10,3588,3650,0.98,920,920,1,,,,,,
USS0022E07S,88,10,3644,3650,1,920,920,1,,,,,,
USS0022E08S,87.2,10,3645,3650,1,912,920,0.99,,,,,,
USS0022E09S,84.2,10,3483,3650,0.95,884,920,0.96,,,,,,
USS0022F03S,86.1,10,3652,3650,1,920,920,1,,,,,,
USS0022F04S,87.1,10,3653,3650,1,920,920,1,,,,,,
USS0022F05S,90,10,3651,3650,1,919,920,1,,,,,,
USS0022F14S,82.7,10,3622,3650,0.99,920,920,1,,,,,,
USS0022F18S,86,10,3653,3650,1,920,920,1,,,,,,
USS0022F42S,80.2,10,3638,3650,1,907,920,0.99,,,,,,
USS0022F43S,86,10,3653,3650,1,920,920,1,,,,,,
USS0022F45S,93.2,10,3653,3650,1,920,920,1,,,,,,
USS0022G06S,82,10,3653,3650,1,920,920,1,,,,,,
USS0022G12S,83.1,10,3653,3650,1,920,920,1,,,,,,
USS0022G13S,87.1,10,3623,3650,0.99,918,920,1,,,,,,
USS0022G14S,88,10,3645,3650,1,920,920,1,,,,,,
USS0022G21S,79,10,3653,3650,1,920,920,1,,,,,,
USS0022G24S,83,10,3653,3650,1,920,920,1,,,,,,
USS0022G33S,85,10,3653,3650,1,920,920,1,,,,,,
USS0023D01S,82.3,10,3653,3650,1,920,920,1,,,,,,
USS0023D02S,86.5,10,3653,3650,1,920,920,1,,,,,,
USS0023D03S,92.1,10,3530,3650,0.97,918,920,1,,,,,,
USS0023G09S,85.2,10,3652,3650,1,920,920,1,,,,,,
USS0023G15S,84.1,10,3652,3650,1,919,920,1,,,,,,
USW00004113,103.2,10,3647,3650,1,918,920,1,,,,,,
USW00004125,101.2,10,3642,3650,1,914,920,0.99,,,,,,
USW00004128,96.1,10,3641,3650,1,913,920,0.99,,,,,,
USW00004141,74,10,3414,3650,0.94,869,920,0.94,,,,,,
USW00004201,95.4,10,3637,3650,1,913,920,0.99,,,,,,
USW00004236,96,10,3643,3650,1,914,920,0.99,,,,,,
USW00024130,96.1,10,3652,3650,1,919,920,1,,,,,,
USW00024155,101.2,10,3653,3650,1,920,920,1,,,,,,
USW00024162,104.2,10,3649,3650,1,920,920,1,,,,,,
USW00024221,96.1,10,3653,3650,1,920,920,1,,,,,,
USW00024225,105,10,3653,3650,1,920,920,1,,,,,,
USW00024229,96.3,10,3653,3650,1,920,920,1,,,,,,
USW00024230,98,10,3653,3650,1,920,920,1,,,,,,
USW00024232,98.1,10,3653,3650,1,920,920,1,,,,,,
USW00024235,88.4,10,3648,3650,1,920,920,1,,,,,,
USW00024242,97.2,10,3651,3650,1,919,920,1,,,,,,
USW00024284,75,10,3631,3650,0.99,900,920,0.98,,,,,,
USW00094185,98.1,10,3647,3650,1,917,920,1,,,,,,
USW00094224,79,10,3653,3650,1,920,920,1,,,,,,
USW00094261,97.3,10,3641,3650,1,920,920,1,,,,,,
USW00094273,97.1,10,3636,3650,1,920,920,1,,,,,,
USW00094281,98.2,10,3648,3650,1,919,920,1,,,,,,
